,age,is_selfie_verified,gender,schools,city,show_gender_on_profile,relationship_intent,sexual_orientations,hide_age,hide_distance,is_traveling,custom_gender,zodiac_sign,height,education_level,relationship_type,workout,professions,company_name,has_face
3282,25.0,True,F,Rijksuniversiteit Groningen,Groningen,,Still figuring it out,,,,,,Leo,,PhD,,,UMCG Groningen,,False
3283,19.0,False,,,,0.0,Short-term fun,,,,,,,,,,,,,True
3284,26.0,False,,,,0.0,"Short-term, open to long",,,,,,,,,,,,,True
3285,21.0,False,,,,0.0,Still figuring it out,,,,,,,,,,,,,False
3286,21.0,False,,Hotelschool,Groningen,0.0,,,,,,,Sagittarius,178.0,In Grad School,,,,,True
3287,23.0,False,,,Groningen,0.0,"Short-term, open to long",,,,,,Cancer,160.0,,,Often,,,True
3288,21.0,False,,University of Groningen,Groningen,0.0,,,,,,,,,,,,,,True
3289,23.0,True,,Rijksuniversiteit Groningen,,0.0,"Long-term, open to short",,,,,,Aquarius,160.0,Bachelors,Open relationship,Never,,,True
3290,25.0,False,,,,0.0,Still figuring it out,,,,,,,,,,,,,True
3291,18.0,False,,NHL Hogeschool,,0.0,,,0.0,0.0,1.0,,Libra,,In Grad School,,Often,,,True
3292,31.0,False,,,,0.0,,,,,,,Virgo,,,,Occasionally,,,True
3293,25.0,False,,Rijksuniversiteit Groningen,,0.0,Still figuring it out,,,,,,,,,,,,,True
3294,24.0,True,,Carlo Bo University of Urbino,,0.0,"Long-term, open to short",,,,,,,,,,,,,True
3295,22.0,True,,Universiteit van Amsterdam,,0.0,,,,,,,Cancer,178.0,Masters,Monogamy,,,,True
3296,21.0,True,,,Groningen,0.0,Long-term partner,,,,,,,,,,,Assistent bedrijfsleider,,True
3297,19.0,True,F,Onderwijsassistent,,1.0,,Straight,0.0,0.0,,,Aries,,,,,,,True
3298,18.0,True,,,Groningen,0.0,"Short-term, open to long",,,,,,Pisces,170.0,,,,Barvrouw,,True
3299,26.0,False,,,,0.0,,,,,,,Virgo,160.0,,,Often,,,True
3300,25.0,False,F,,Groningen,,,,,,,,Gemini,,Masters,,,,,True
3301,22.0,False,,Hanover Medical School,,0.0,"Long-term, open to short",,,,,,,,,Monogamy,,,,True
3302,21.0,True,F,Universitatea de Medicină şi Farmacie Carol Davila din Bucureşti,,1.0,"Long-term, open to short",,,,0.0,,Aries,,In College,Monogamy,,,,True
3303,20.0,False,,Hanzehogeschool Groningen,Groningen,0.0,Still figuring it out,,,,,,Aquarius,,In Grad School,Monogamy,,Stagiair,Noorderpoort,True
3304,23.0,False,,Rijksuniversiteit Groningen,,0.0,Still figuring it out,,,,,,,,,,,,,True
3305,22.0,True,,University of Groningen,Groningen,0.0,"Long-term, open to short",,,,0.0,,Taurus,,In College,,,"[{'company': {'name': 'Morgan Stanley'}, 'title': None}]",Morgan Stanley,True
3306,25.0,True,,,,0.0,,,,,,,,,,,,,,True
3307,20.0,False,F,Windesheim,,1.0,,,,,,,Cancer,,In College,,Sometimes,Journalist,,True
3308,22.0,False,,University of Groningen,Groningen,0.0,"Long-term, open to short",,,,,,Aries,,In College,,,Student,,True
3309,25.0,False,,Rijksuniversiteit Groningen,,0.0,"Long-term, open to short",,,,,,,,,,,,,True
3310,21.0,False,,University of Groningen,Groningen,0.0,,,,,,,,,,,,,,True
3311,21.0,False,,University of Groningen,,0.0,"Long-term, open to short",Queer,,,,,Pisces,,In College,,,,,True
3312,45.0,False,M,,,,,,,,,,,,,,,,,True
3313,21.0,False,,Hanze University of Applied Sciences Groningen,Groningen,0.0,,,,,,,Aries,,Bachelors,,,,,True
3314,28.0,True,,Stenden University of Applied Sciences,Amstelveen,0.0,"Long-term, open to short",,,,0.0,,Cancer,192.0,Bachelors,,Occasionally,,,True
3315,20.0,False,,Rijksuniversiteit Groningen,Groningen,0.0,,,,,,,,,,,,,,True
